"","Project.Plot","Plant_tag","DBH_mm","Height_m","Veg_Type","ID","Status","Distance_km"
"205","DF_3B","2496",30.7,3.6,"Tree","Baphia leptobotris","Defaunated",20.195
"206","DF_3B","2427",25.1,3.7,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"207","DF_3B","4018",126,15,"Tree","Baphia leptobotris","Defaunated",20.195
"208","DF_3B","2489",22.5,4.5,"Tree","Dialium bipindense","Defaunated",20.195
"209","DF_3B","2439",40.4,8,"Tree","Centroplacus glaucinus","Defaunated",20.195
"210","DF_3B","2459",12.7,1.5,"Sapling","Odjendja gabonensis","Defaunated",20.195
"211","DF_3B","2425",9.6,1.5,"Sapling","Bleischmedia sp 1","Defaunated",20.195
"212","DF_3B","5210",26.9,4.9,"Tree","Lichostema glanscesens","Defaunated",20.195
"213","DF_3B","6925",93,10,"Tree","Baphia leptobotris","Defaunated",20.195
"214","DF_3B","3575",13.4,1.8,"Sapling","Baphia leptobotris","Defaunated",20.195
"215","DF_3B","4022",21.2,2.9,"Tree","Baphia leptobotris","Defaunated",20.195
"216","DF_3B","5107",15.7,1.8,"Sapling","Centroplacus glaucinus","Defaunated",20.195
"217","DF_3B","4090",35.5,4.8,"Tree","Garcinia afzelli","Defaunated",20.195
"218","DF_3B","5350",25.3,3.7,"Tree","Baphia leptobotris","Defaunated",20.195
"219","DF_3B","4439",12.5,3.2,"Tree","Plagiostyles africana","Defaunated",20.195
"220","DF_3B","2421",65,8,"Tree","Baphia leptobotris","Defaunated",20.195
"221","DF_3B","2249",22.9,2.1,"Tree","Baphia leptobotris","Defaunated",20.195
"222","DF_3B","737",19.4,3,"Tree","Eremospatha sp 1","Defaunated",20.195
"223","DF_3B","5127",16.5,3.2,"Tree","Baphia leptobotris","Defaunated",20.195
"224","DF_3B","5160",42.8,6,"Tree","Baphia leptobotris","Defaunated",20.195
"225","DF_3B","5123",54,9,"Tree","Baphia leptobotris","Defaunated",20.195
"226","DF_3B","5130",13.7,2.1,"Tree","Eremospatha sp 1","Defaunated",20.195
"227","DF_3B","5176",28.7,4.6,"Tree","Eremospatha sp 1","Defaunated",20.195
"228","DF_3B","5812",23.3,4,"Tree","Cola sp 1","Defaunated",20.195
"229","DF_3B","2546",116.84,10,"Tree","Dialium dinklagei","Defaunated",20.195
"230","DF_3B","7056",23.5,6,"Tree","Xylopia quintasii","Defaunated",20.195
"231","DF_3B","7003",38.1,4,"Tree","Chytranthus talbotii","Defaunated",20.195
"232","DF_3B","7075",12.3,2.2,"Tree","Drypetes gossweileri","Defaunated",20.195
"233","DF_3B","7060",23.5,4,"Tree","Lichostema glanscesens","Defaunated",20.195
"234","DF_3B","2897",177.8,20,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"235","DF_3B","2717",53.34,7,"Tree","Scorodophloeus zenkeri","Defaunated",20.195
"236","DF_3B","730",37.7,2.3,"Tree","Crudia gabonensis","Defaunated",20.195
"237","DF_3B","1231",23.9,2.8,"Tree","Chytranthus talbotii","Defaunated",20.195
"238","DF_3B","799",81.28,10,"Tree","Baphia leptobotris","Defaunated",20.195
"239","DF_3B","7508",16.1,1.8,"Sapling","Scorodophloeus zenkeri","Defaunated",20.195
"240","DF_3B","7593",30.2,2.7,"Tree","Chytranthus talbotii","Defaunated",20.195
"241","DF_3B","560",9.6,1.6,"Sapling","Rhinorea sp 1","Defaunated",20.195
"242","DF_3B","4372",20,3.3,"Tree","Crudia gabonensis","Defaunated",20.195
"243","DF_3B","7501",43.7,4.8,"Tree","Clenianthus gabonii","Defaunated",20.195
"244","DF_3B","950",8.4,2.3,"Tree","Rhinorea sp 1","Defaunated",20.195
"245","DF_3B","7146",13.7,2.6,"Tree","Xylopia hypolampra","Defaunated",20.195
"246","DF_3B","7369",25.7,4.1,"Tree","Afrostyrax lepidophyllus","Defaunated",20.195
"247","DF_3B","7384",19.2,3.1,"Tree","Napoleona vogellei","Defaunated",20.195
"248","DF_3B","7341",53.34,7,"Tree","Antonota flagrans","Defaunated",20.195
"249","DF_3B","7372",66.04,9,"Tree","Trichoscypha acuminata","Defaunated",20.195
"250","DF_3B","801",28.4,1.9,"Sapling","Napoleona vogellei","Defaunated",20.195
"251","DF_3B","913",49.6,8,"Tree","Xylopia sp 2","Defaunated",20.195
"252","DF_3B","898",47,8,"Tree","Grewia coriacea","Defaunated",20.195
"253","DF_3B","836",365.76,25,"Tree","Dialium pachyphyllum","Defaunated",20.195
"254","DF_3B","904",76.2,9,"Tree","Lichostema glanscesens","Defaunated",20.195
"255","DF_3B","991",9.2,1.6,"Sapling","Afrostyrax lepidophyllus","Defaunated",20.195
"256","DF_3B","892",33.3,4,"Tree","Odoniodendron sp 1","Defaunated",20.195
"257","DF_3B","3156",12.12,2.6,"Tree","Microdesmis sp 1","Defaunated",20.195
"258","DF_3B","3884",34.3,6,"Tree","Greenwaydendron gabonica","Defaunated",20.195
